epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,979.406,1.61075,4.04673,0.00519,0.21261,0.32257,0.23016,0.15553,1.03676,2.71368,0.00338,0.000175111,0.000175111,0.000175111
2,1701.04,1.23901,2.30846,0.00365,0.54035,0.62772,0.62298,0.46569,0.91855,1.65109,0.00296,0.00034177,0.00034177,0.00034177
3,2371.84,1.15819,1.68505,0.00334,0.71785,0.77073,0.82793,0.62286,0.91254,1.08917,0.00288,0.000499751,0.000499751,0.000499751
4,3044.21,1.1122,1.35684,0.00319,0.82664,0.83922,0.91896,0.71043,0.87347,0.78347,0.00274,0.000486945,0.000486945,0.000486945
5,3706.23,1.0632,1.11212,0.003,0.86877,0.88743,0.95413,0.76488,0.78907,0.60149,0.00245,0.000473926,0.000473926,0.000473926
6,5033.38,1.02708,0.994,0.0029,0.89594,0.91037,0.96652,0.78454,0.75022,0.50554,0.00234,0.000460907,0.000460907,0.000460907
7,6115.28,1.01327,0.88493,0.00284,0.92264,0.9293,0.97779,0.78946,0.76251,0.42633,0.00235,0.000447889,0.000447889,0.000447889
8,7322.86,0.99272,0.81897,0.00276,0.92635,0.93516,0.97828,0.79882,0.7392,0.38693,0.00228,0.00043487,0.00043487,0.00043487
9,8569.99,0.97341,0.77386,0.00271,0.94285,0.9457,0.98247,0.79976,0.74074,0.35831,0.00228,0.000421852,0.000421852,0.000421852
10,9469,0.94213,0.71593,0.00262,0.94788,0.95576,0.98324,0.81473,0.69685,0.32764,0.00215,0.000408834,0.000408834,0.000408834
11,10209.1,0.93883,0.69619,0.0026,0.95544,0.95707,0.98584,0.83031,0.6502,0.30423,0.002,0.000395815,0.000395815,0.000395815
12,10889.3,0.92357,0.66103,0.00254,0.9602,0.96159,0.98595,0.80912,0.72652,0.29942,0.00223,0.000382796,0.000382796,0.000382796
13,11543.3,0.91195,0.63811,0.00251,0.95939,0.96489,0.98751,0.82477,0.67223,0.27969,0.00207,0.000369778,0.000369778,0.000369778
14,12247.8,0.90496,0.62483,0.0025,0.96489,0.96405,0.98801,0.83349,0.64292,0.26339,0.00198,0.00035676,0.00035676,0.00035676
15,12907.9,0.88327,0.5931,0.00242,0.97162,0.96352,0.98819,0.83904,0.6257,0.25678,0.00192,0.000343741,0.000343741,0.000343741
16,13745.5,0.87864,0.58188,0.0024,0.9694,0.96587,0.98585,0.82887,0.65462,0.25455,0.00199,0.000330722,0.000330722,0.000330722
17,14787.9,0.86818,0.57225,0.00236,0.96617,0.97167,0.98805,0.82086,0.68657,0.25482,0.00211,0.000317704,0.000317704,0.000317704
18,16014.6,0.85703,0.55889,0.00235,0.97274,0.96881,0.98711,0.83001,0.65598,0.24564,0.002,0.000304685,0.000304685,0.000304685
19,18714.9,0.84671,0.53585,0.0023,0.96888,0.97555,0.98691,0.8442,0.60723,0.22696,0.00185,0.000291667,0.000291667,0.000291667
20,20009.6,0.85664,0.54041,0.00232,0.97199,0.97344,0.98764,0.82344,0.68177,0.2404,0.00208,0.000278649,0.000278649,0.000278649
21,21242.3,0.83276,0.50902,0.00228,0.97614,0.98064,0.99101,0.83889,0.63354,0.2235,0.00193,0.00026563,0.00026563,0.00026563
22,22349.7,0.82575,0.50374,0.00224,0.97711,0.97613,0.99035,0.84684,0.60626,0.21852,0.00185,0.000252611,0.000252611,0.000252611
23,23449.1,0.82792,0.49801,0.00224,0.98201,0.98044,0.9915,0.85182,0.5955,0.20768,0.00183,0.000239593,0.000239593,0.000239593
24,24528.3,0.81946,0.49936,0.00221,0.98135,0.98009,0.99057,0.85118,0.59721,0.20602,0.00182,0.000226575,0.000226575,0.000226575
25,25760.2,0.80848,0.48081,0.00218,0.98239,0.98173,0.99075,0.8551,0.58791,0.20162,0.00179,0.000213556,0.000213556,0.000213556
26,27086,0.79418,0.47118,0.00216,0.97821,0.98408,0.99084,0.8556,0.58342,0.1987,0.00178,0.000200537,0.000200537,0.000200537
27,28483,0.79712,0.47271,0.00216,0.97779,0.98431,0.99137,0.85866,0.57473,0.19587,0.00175,0.000187519,0.000187519,0.000187519
28,29955.4,0.79422,0.46306,0.00214,0.98219,0.98504,0.99019,0.85631,0.5816,0.19595,0.00177,0.0001745,0.0001745,0.0001745
29,31255.8,0.78879,0.46102,0.00214,0.98282,0.98101,0.99117,0.85908,0.57546,0.19425,0.00175,0.000161482,0.000161482,0.000161482
30,32638.8,0.78149,0.45046,0.00212,0.98387,0.98085,0.99076,0.85417,0.59491,0.19761,0.00181,0.000148463,0.000148463,0.000148463
31,33916.3,0.64953,0.28076,0.00211,0.98198,0.98377,0.99109,0.85179,0.59975,0.19821,0.00183,0.000135445,0.000135445,0.000135445
32,35177.2,0.64122,0.28296,0.00209,0.98378,0.98427,0.99163,0.85948,0.57676,0.19347,0.00176,0.000122426,0.000122426,0.000122426
33,36367.5,0.63906,0.28226,0.00206,0.98052,0.98486,0.99126,0.86361,0.56398,0.19067,0.00172,0.000109408,0.000109408,0.000109408
34,37645.3,0.62898,0.26587,0.00205,0.97971,0.98815,0.99118,0.86308,0.56289,0.18947,0.00171,9.63895e-05,9.63895e-05,9.63895e-05
35,39415.8,0.62232,0.27103,0.00201,0.98371,0.98688,0.9913,0.86498,0.55917,0.18673,0.0017,8.3371e-05,8.3371e-05,8.3371e-05
36,40941.3,0.62141,0.2672,0.00201,0.9841,0.986,0.99138,0.86241,0.56544,0.18826,0.00172,7.03525e-05,7.03525e-05,7.03525e-05
37,42156.9,0.61604,0.26507,0.00198,0.97972,0.98989,0.99144,0.86592,0.5566,0.18619,0.0017,5.7334e-05,5.7334e-05,5.7334e-05
38,43333.6,0.61308,0.26399,0.00197,0.98297,0.98519,0.99135,0.86575,0.55489,0.18567,0.00169,4.43155e-05,4.43155e-05,4.43155e-05
39,44548,0.61004,0.26109,0.00198,0.98367,0.98775,0.99143,0.86301,0.56428,0.18655,0.00172,3.1297e-05,3.1297e-05,3.1297e-05
40,45588.9,0.61167,0.26316,0.00197,0.98109,0.98744,0.99107,0.86554,0.55448,0.18386,0.00169,1.82785e-05,1.82785e-05,1.82785e-05
